folder_name,file_name,cik,acsn,fid,error_reason
2001_12_31,0001162170_0001162170_02_000005_2001_12_31.parquet,0001162170,0001162170-02-000005,1Mj2LfMvWai3XDT-Jn_nXw9uKBeSR_dj1,Transfer failed after retries
2001_12_31,0000351173_0000351173_02_000002_2001_12_31.parquet,0000351173,0000351173-02-000002,1arkqgOT2ntgZNY4Z87EX82utSF5yeiDc,Transfer failed after retries
2001_12_31,0001027814_0000038777_02_000093_2001_12_31.parquet,0001027814,0000038777-02-000093,1wDKY5m0_G8IYE0D1vJILDuZUnWhQ49T3,Transfer failed after retries
2001_12_31,0001105909_0001105909_02_000001_2001_12_31.parquet,0001105909,0001105909-02-000001,1DNes_1P_djCWkiw9ALNaQkEELnmxE8Rf,Transfer failed after retries
2001_12_31,0001105909_0001105909_08_000030_2001_12_31.parquet,0001105909,0001105909-08-000030,1Q42FW4ASvSmf0oTMKQC9lPUG201bU2NK,Transfer failed after retries
2001_12_31,0000894309_0000894309_02_000001_2001_12_31.parquet,0000894309,0000894309-02-000001,1GG_2xqM3XF6PwX5PQURYXgMCYskZtU1H,Transfer failed after retries
2001_12_31,0000894309_0000894309_08_000032_2001_12_31.parquet,0000894309,0000894309-08-000032,1TfkHd_4Qe__Y0qA2TXndOQQzsHyXYZ3J,Transfer failed after retries
2001_12_31,0001006378_0001006378_02_000003_2001_12_31.parquet,0001006378,0001006378-02-000003,1Fg0nnp0Gr9NO9lFsujRiAhlSaUm0RQV1,Transfer failed after retries
2001_12_31,0000791185_0000791185_02_000007_2001_12_31.parquet,0000791185,0000791185-02-000007,1WjfmSN7my2ayH85E58lZUO9T7aYbyfQU,Transfer failed after retries
2001_12_31,0001068829_0001068829_02_000003_2001_12_31.parquet,0001068829,0001068829-02-000003,12E5gHKzcju4WeDh-PhNoClgXfC6NCfvV,Transfer failed after retries
2001_12_31,0001035350_0001035350_02_000009_2001_12_31.parquet,0001035350,0001035350-02-000009,1pymgnelQaAKC9AbeQlPAlnJgZDnHn0WB,Transfer failed after retries
2001_12_31,0000869772_0000791185_02_000006_2001_12_31.parquet,0000869772,0000791185-02-000006,1eLQhyPpCfl-yQ0cnqhjb6xKpYnXR8YkG,Transfer failed after retries
2001_12_31,0001161822_0001161822_02_000001_2001_12_31.parquet,0001161822,0001161822-02-000001,1VQM0dgwWsskShLLGaHRUdzepTGiulFAF,Transfer failed after retries
2001_12_31,0001054587_0000941655_02_000011_2001_12_31.parquet,0001054587,0000941655-02-000011,1bzlvljRMggXOnoL0A4yCk5KgSade2nDr,Transfer failed after retries
2001_12_31,0001086416_0001005477_02_000460_2001_12_31.parquet,0001086416,0001005477-02-000460,179JhfZP1otmLPX3YgLftaBoV7mNcoCrg,Transfer failed after retries
2001_12_31,0000937522_0000937522_02_000008_2001_12_31.parquet,0000937522,0000937522-02-000008,144zPSQ763p34isxmhpzo-FpkiW8LXpsv,Transfer failed after retries
2001_12_31,0000909151_0000909151_02_000002_2001_12_31.parquet,0000909151,0000909151-02-000002,19-WvZzZDZD4Lk-OvrBnhkeOIE1iwfv_X,Transfer failed after retries
2001_12_31,0001080197_0000950152_02_000678_2001_12_31.parquet,0001080197,0000950152-02-000678,1ggu78OqMtFP8wW_dwzaNVKcA3V2Q-CbF,Transfer failed after retries
2001_12_31,0001086619_0000912057_02_006038_2001_12_31.parquet,0001086619,0000912057-02-006038,1e8m9aof0bhn4bBlSxUzd9B12EhXv-sE2,Transfer failed after retries
2001_12_31,0001008895_0001008895_02_000001_2001_12_31.parquet,0001008895,0001008895-02-000001,18q6VcrAONJl2pVvNLNIsK4LOH-z7b3al,Transfer failed after retries
2001_12_31,0001056593_0000950123_02_001445_2001_12_31.parquet,0001056593,0000950123-02-001445,1QslzqBX8lkAMyNrZs2SuRMzvBUNc3yA7,Transfer failed after retries
2001_12_31,0001033974_0001033974_02_000001_2001_12_31.parquet,0001033974,0001033974-02-000001,1Z_gp9SW06pzlv2_1JVPzUMsuhPfvDfFA,Transfer failed after retries
2001_12_31,0001044924_0001044924_02_000002_2001_12_31.parquet,0001044924,0001044924-02-000002,1sx1LnDm3GSMLHkgBtuVolCRLLGK1k3jg,Transfer failed after retries
2001_12_31,0001044924_0001044924_04_000006_2001_12_31.parquet,0001044924,0001044924-04-000006,1ccQ7g04GaY06cGamhBgjGRjHY0OTWqz3,Transfer failed after retries
2001_12_31,0001105467_0001105467_02_000003_2001_12_31.parquet,0001105467,0001105467-02-000003,1AvKcc2WOBS5m_UIKu9DtrmWnYzhtkcYj,Transfer failed after retries
2001_12_31,0001173889_0000912057_02_027806_2001_12_31.parquet,0001173889,0000912057-02-027806,1631zLwvdyGTwi4hO1SwjgiWOA9n1yWqm,Transfer failed after retries
2001_12_31,0001000742_0000919574_02_000464_2001_12_31.parquet,0001000742,0000919574-02-000464,1fV4YuvNw--0TChSfZLzDZsylPmmzDLdw,Transfer failed after retries
